Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,S-lifting,GRASP,Morphology,uttid
1,1,Mother,Alex010614,what's in that box ?,Alex,0.0,2.381,,,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|JCT] [4|5|DET] [5|3|POBJ 6|2|PUNCT],[pro:int|what~cop|be&3S] [prep|in] [pro:dem|that] [n|box ?],MotherofAlex_Alex010614_1
2,2,Mother,Alex010614,what's in the box ?,Alex,2.381,4.623,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|JCT] [4|5|DET] [5|3|POBJ 6|2|PUNCT],[pro:int|what~cop|be&3S] [prep|in] [det:art|the] [n|box ?],MotherofAlex_Alex010614_2
3,3,Mother,Alex010614,huh ?,Alex,4.623,10.365,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|huh ?],MotherofAlex_Alex010614_3
4,4,Mother,Alex010614,clean it .,Alex,10.365,15.588,[],,,,,,,,,,,[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|clean] [pro:per|it .],MotherofAlex_Alex010614_4
5,5,Mother,Alex010614,right (.) clean it .,Alex,15.588,18.501,[],,,,,,,,,,,[1|2|JCT] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[adv|right] [v|clean] [pro:per|it .],MotherofAlex_Alex010614_5
6,6,Mother,Alex010614,a little dusty .,Alex,18.501,19.695,[],,,,,,,,,,,[1|3|DET] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[det:art|a] [adj|little] [adj|dust&dn-Y .],MotherofAlex_Alex010614_6
7,7,Mother,Alex010614,nobody feels good huh ?,Alex,19.695,32.101,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|2|COM 5|2|PUNCT],[pro:indef|nobody] [v|feel-3S] [adj|good] [co|huh ?],MotherofAlex_Alex010614_7
8,8,Mother,Alex010614,everybody feels crummy .,Alex,32.101,34.858,,,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|2|JCT 4|2|PUNCT],[pro:indef|everybody] [v|feel-3S] [adj|crummy .],MotherofAlex_Alex010614_8
9,9,Mother,Alex010614,what's in here ?,Alex,34.858,38.178,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|JCT] [4|3|POBJ 5|2|PUNCT],[pro:int|what~cop|be&3S] [prep|in] [adv|here ?],MotherofAlex_Alex010614_9
10,10,Mother,Alex010614,look .,Alex,38.178,40.285,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|look .],MotherofAlex_Alex010614_10
11,11,Mother,Alex010614,wow .,Alex,40.285,43.018,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|wow .],MotherofAlex_Alex010614_11
12,12,Mother,Alex010614,what is in there ?,Alex,43.018,45.843,[],,,,,,,,,,,[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|3|POBJ 5|2|PUNCT],[pro:int|what] [cop|be&3S] [prep|in] [adv|there ?],MotherofAlex_Alex010614_12
13,13,Mother,Alex010614,wow .,Alex,45.843,48.583,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|wow .],MotherofAlex_Alex010614_13
14,14,Mother,Alex010614,what's that ?,Alex,48.583,51.283,[],,,,,,,,,,,[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],MotherofAlex_Alex010614_14
15,15,Alex,Alex010614,yyy yyy .,Alex,51.283,53.826,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_15
16,16,Alex,Alex010614,yyy .,Alex,53.826,56.876,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_16
17,17,Alex,Alex010614,yyy yyy yyy yyy .,Alex,56.876,62.296,[],,,,,,,,,,,[],[],AlexofAlex_Alex010614_17
