Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,CameraOperator,Alex010825-200,what is that ?,Alex,0.57,1.518,,[1|2|SUBJ] [2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what] [cop|be&3S] [pro:dem|that ?],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_1
2,Alex,Alex010825-200,yyy .,Alex,2.11,3.53,,[],[],,,,,,,,,,AlexofAlex_Alex010825-200_2
3,CameraOperator,Alex010825-200,what is that ?,Alex,4.306,4.97,,[1|2|SUBJ] [2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what] [cop|be&3S] [pro:dem|that ?],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_3
4,Alex,Alex010825-200,yyy .,Alex,5.08,8.24,,[],[],,,,,,,,,,AlexofAlex_Alex010825-200_4
5,CameraOperator,Alex010825-200,"let me see , is that panda bear ?",Alex,5.809,7.51,,[1|0|ROOT] [2|1|OBJ] [3|1|XCOMP 4|3|LP] [5|8|AUX] [6|8|DET] [7|8|MOD] [8|1|OBJ 9|1|PUNCT],[v|let&ZERO] [pro:obj|me] [v|see cm|cm] [aux|be&3S] [pro:dem|that] [n|panda] [n|bear ?],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_5
6,Mother,Alex010825-200,oh that's xxx my new bear from the zoo .,Alex,8.583,11.18,,[1|3|COM] [2|3|SUBJ 3|0|ROOT] [] [4|6|MOD] [5|6|MOD] [6|3|PRED] [7|6|NJCT] [8|9|DET] [9|7|POBJ 10|3|PUNCT],[co|oh] [pro:dem|that~cop|be&3S] [] [det:poss|my] [adj|new] [n|bear] [prep|from] [det:art|the] [n|zoo .],,,,,,,,,,MotherofAlex_Alex010825-200_6
7,CameraOperator,Alex010825-200,panda bear .,Alex,11.518,12.158,,[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[n|panda] [n|bear .],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_7
8,Mother,Alex010825-200,we went to the zoo .,Alex,12.158,14.158,,[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|5|DET] [5|3|POBJ 6|2|PUNCT],[pro:sub|we] [v|go&PAST] [prep|to] [det:art|the] [n|zoo .],,,,,,,,,,MotherofAlex_Alex010825-200_8
9,Alex,Alex010825-200,xxx .,Alex,12.158,15.475,making exciting gasping noises .,[],[],,,,,,,,,,AlexofAlex_Alex010825-200_9
10,CameraOperator,Alex010825-200,"okay , I'll leave it .",Alex,16.085,16.76,,[1|5|COM 2|1|LP] [3|5|SUBJ 4|5|AUX] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[co|okay cm|cm] [pro:sub|I~mod|will] [v|leave] [pro:per|it .],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_10
11,Mother,Alex010825-200,okay .,Alex,16.76,17.6,to cameraoperator,[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofAlex_Alex010825-200_11
12,CameraOperator,Alex010825-200,you're on .,Alex,17.553,18.81,,[1|2|SUBJ 2|0|ROOT] [3|2|JCT 4|2|PUNCT],[pro:per|you~aux|be&PRES] [adv|on .],,,,,,,,,,CameraOperatorofAlex_Alex010825-200_12
13,Mother,Alex010825-200,all gone .,Alex,17.633,18.81,,[1|2|JCT] [2|0|ROOT 3|2|PUNCT],[post|all] [part|go&PASTP .],,,,,,,,,,MotherofAlex_Alex010825-200_13
14,Mother,Alex010825-200,Alex it's all gone .,Alex,19.012,20.16,,[1|3|LINK] [2|3|SUBJ 3|0|ROOT] [4|5|JCT] [5|3|PRED 6|3|PUNCT],[n:prop|Alex] [pro:per|it~cop|be&3S] [adv|all] [part|go&PASTP .],,,,,,,,,,MotherofAlex_Alex010825-200_14
