Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Alex,Alex020523,xxx yyy .,Alex,0.0,3.546,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_1
2,Mother,Alex020523,squish it .,Alex,3.546,4.505,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|squish] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_2
3,Alex,Alex020523,xxx .,Alex,4.505,5.723,laughing,[],[],,,,,,,,,,AlexofAlex_Alex020523_3
4,Alex,Alex020523,ready look .,Alex,5.723,7.641,[],[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[adj|ready] [v|look .],,,,,,,,,,AlexofAlex_Alex020523_4
5,Mother,Alex020523,ooh .,Alex,7.641,8.923,[],[1|0|ROOT 2|1|PUNCT],[v|ooh .],,,,,,,,,,MotherofAlex_Alex020523_5
6,Alex,Alex020523,I need the yyy .,Alex,8.923,10.905,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ] [4|2|PUNCT],[pro:sub|I] [v|need] [det:art|the] [.],,,,,,,,,,AlexofAlex_Alex020523_6
7,Alex,Alex020523,yyy the yyy .,Alex,10.905,12.771,[],[] [1|0|INCROOT] [2|1|PUNCT],[] [det:art|the] [.],,,,,,,,,,AlexofAlex_Alex020523_7
8,Alex,Alex020523,yyy .,Alex,12.771,14.276,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_8
9,Mother,Alex020523,you squishing it ?,Alex,14.276,15.531,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[pro:per|you] [part|squish-PRESP] [pro:per|it ?],,,,,,,,,,MotherofAlex_Alex020523_9
10,Alex,Alex020523,xxx .,Alex,15.531,18.013,"laughing , camera falls",[],[],,,,,,,,,,AlexofAlex_Alex020523_10
11,Alex,Alex020523,yyy yyy .,Alex,18.013,22.681,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_11
12,CameraOperator,Alex020523,xxx .,Alex,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofAlex_Alex020523_12
13,Mother,Alex020523,squishing it in your hand ?,Alex,0.0,0.0,[],[1|0|INCROOT] [2|1|OBJ] [3|1|JCT] [4|5|MOD] [5|3|POBJ 6|1|PUNCT],[part|squish-PRESP] [pro:per|it] [prep|in] [det:poss|your] [n|hand ?],,,,,,,,,,MotherofAlex_Alex020523_13
14,Mother,Alex020523,you little silly .,Alex,22.681,24.646,[],[1|0|INCROOT] [2|3|MOD] [3|1|PRED 4|1|PUNCT],[pro:per|you] [adj|little] [adj|silly .],,,,,,,,,,MotherofAlex_Alex020523_14
15,Alex,Alex020523,yyy .,Alex,24.646,27.241,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_15
16,CameraOperator,Alex020523,xxx .,Alex,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofAlex_Alex020523_16
17,Mother,Alex020523,squishing .,Alex,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[part|squish-PRESP .],,,,,,,,,,MotherofAlex_Alex020523_17
18,Alex,Alex020523,yyy .,Alex,27.241,29.505,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_18
19,Mother,Alex020523,xxx .,Alex,29.505,33.745,[],[],[],,,,,,,,,,MotherofAlex_Alex020523_19
20,CameraOperator,Alex020523,xxx .,Alex,0.0,0.0,[],[],[],,,,,,,,,,CameraOperatorofAlex_Alex020523_20
21,Alex,Alex020523,yyy .,Alex,33.745,35.241,[],[],[],,,,,,,,,,AlexofAlex_Alex020523_21
22,Mother,Alex020523,squish it .,Alex,35.241,37.148,[],[1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[v|squish] [pro:per|it .],,,,,,,,,,MotherofAlex_Alex020523_22
23,Alex,Alex020523,yyy purple yyy blue .,Alex,37.148,39.573,[],[] [1|2|MOD] [] [2|0|INCROOT 3|2|PUNCT],[] [adj|purple] [] [n|blue .],,,,,,,,,,AlexofAlex_Alex020523_23
24,Mother,Alex020523,purple and the blue .,Alex,39.573,41.241,[],[1|0|INCROOT] [2|1|CONJ] [3|4|DET] [4|2|COORD 5|1|PUNCT],[adj|purple] [coord|and] [det:art|the] [n|blue .],,,,,,,,,,MotherofAlex_Alex020523_24
25,Alex,Alex020523,xxx yyy the purple .,Alex,41.241,44.556,[],[] [] [1|2|DET] [2|0|INCROOT 3|2|PUNCT],[] [] [det:art|the] [n|purple .],,,,,,,,,,AlexofAlex_Alex020523_25
26,Alex,Alex020523,yyy blue .,Alex,44.556,46.703,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adj|blue .],,,,,,,,,,AlexofAlex_Alex020523_26
27,Alex,Alex020523,on blue on the blue on the blue .,Alex,46.701,52.845,[],[1|2|JCT] [2|8|MOD] [3|2|JCT] [4|5|DET] [5|3|POBJ] [6|8|JCT] [7|8|DET] [8|0|INCROOT 9|8|PUNCT],[adv|on] [adj|blue] [prep|on] [det:art|the] [n|blue] [adv|on] [det:art|the] [n|blue .],,,,,,,,,,AlexofAlex_Alex020523_27
28,Alex,Alex020523,yyy blue .,Alex,52.845,54.411,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adj|blue .],,,,,,,,,,AlexofAlex_Alex020523_28
29,Alex,Alex020523,yyy blue .,Alex,54.411,55.91,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adj|blue .],,,,,,,,,,AlexofAlex_Alex020523_29
30,Mother,Alex020523,what honey ?,Alex,55.91,56.5,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[pro:int|what] [n|honey ?],,,,,,,,,,MotherofAlex_Alex020523_30
31,Alex,Alex020523,yyy blue .,Alex,56.5,57.646,[],[] [1|0|INCROOT 2|1|PUNCT],[] [adj|blue .],,,,,,,,,,AlexofAlex_Alex020523_31
32,Mother,Alex020523,oh it's hot in here now .,Alex,57.645,60.391,[],[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|3|PRED] [5|3|JCT] [6|7|JCT] [7|5|POBJ 8|3|PUNCT],[co|oh] [pro:per|it~cop|be&3S] [adj|hot] [prep|in] [adv|here] [adv|now .],,,,,,,,,,MotherofAlex_Alex020523_32
