Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,1,Lily,Lily020004,xxx .,Lily,0.0,0.696,[],[],[],,,,,,,,,,LilyofLily_Lily020004_1
2,2,CameraOperator,Lily020004,that's interesting actually .,Lily,0.696,2.481,[],[1|3|LINK 2|3|AUX] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[pro:rel|that~aux|be&3S] [part|interest-PRESP] [adv|actual&dadj-LY .],,,,,,,,,,CameraOperatorofLily_Lily020004_2
3,3,Mother,Lily020004,now that's quite a tutu .,Lily,2.481,4.881,[],[1|6|JCT] [2|6|SUBJ 3|6|AUX] [4|6|JCT] [5|6|DET] [6|0|INCROOT 7|6|PUNCT],[adv|now] [pro:rel|that~aux|be&3S] [adv|quite] [det:art|a] [n|tutu .],,,,,,,,,,MotherofLily_Lily020004_3
4,4,Mother,Lily020004,oop xxx .,Lily,4.881,6.571,laughter,[1|0|INCROOT] [2|1|PUNCT],[co|oop] [.],,,,,,,,,,MotherofLily_Lily020004_4
5,5,Lily,Lily020004,where is Manuela ?,Lily,6.571,9.408,[],[1|2|LINK] [2|0|ROOT] [3|2|PRED 4|2|PUNCT],[adv:int|where] [cop|be&3S] [n:prop|Manuela ?],,,,,,,,,,LilyofLily_Lily020004_5
6,6,Mother,Lily020004,where's Manuela ?,Lily,9.408,12.033,[],[1|2|LINK 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[adv:int|where~cop|be&3S] [n:prop|Manuela ?],,,,,,,,,,MotherofLily_Lily020004_6
7,7,Lily,Lily020004,there she is .,Lily,12.033,13.146,[],[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[adv|there] [pro:sub|she] [cop|be&3S .],,,,,,,,,,LilyofLily_Lily020004_7
8,8,Mother,Lily020004,there she is xxx .,Lily,13.146,17.225,laughter,[1|3|JCT] [2|3|SUBJ] [3|0|ROOT] [4|3|PUNCT],[adv|there] [pro:sub|she] [cop|be&3S] [.],,,,,,,,,,MotherofLily_Lily020004_8
9,9,CameraOperator,Lily020004,oh boy .,Lily,0.0,0.0,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|oh] [n|boy .],,,,,,,,,,CameraOperatorofLily_Lily020004_9
10,10,Mother,Lily020004,there she is xxx .,Lily,17.225,20.996,laughter,[1|3|JCT] [2|3|SUBJ] [3|0|ROOT] [4|3|PUNCT],[adv|there] [pro:sub|she] [cop|be&3S] [.],,,,,,,,,,MotherofLily_Lily020004_10
