Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Lily,Lily020909,xxx .,Lily,0.0,2.05,[],[],[],,,,,,,,,,LilyofLily_Lily020909_1
2,Mother,Lily020909,you want (t:t:self interruption),Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:per|you] [v|want (mt:self interruption)],,,,,,,,,,MotherofLily_Lily020909_2
3,Mother,Lily020909,xxx .,Lily,2.05,3.748,[],[],[],,,,,,,,,,MotherofLily_Lily020909_3
4,Mother,Lily020909,"<o>kay , why don't you bring that to the couch , Mommy has xxx a little more wine to wipe , doo doo doo doo doo doo .",Lily,3.748,13.796,"groans , then singsong voice",[1|7|COM 2|1|LP] [3|7|LINK] [4|7|AUX 5|4|NEG] [6|7|SUBJ] [7|0|ROOT] [8|14|LINK] [9|8|JCT] [10|11|DET] [11|9|POBJ 12|8|LP] [13|14|SUBJ] [14|7|COMP] [] [15|16|DET] [16|27|MOD] [17|18|JCT] [18|27|MOD] [19|20|INF] [20|27|MOD 21|20|LP] [22|27|MOD] [23|27|MOD] [24|27|MOD] [25|27|MOD] [26|27|MOD] [27|14|OBJ 28|7|PUNCT],[co|okay cm|cm] [adv:int|why] [mod|do~neg|not] [pro:per|you] [v|bring] [pro:rel|that] [prep|to] [det:art|the] [n|couch cm|cm] [n:prop|Mommy] [v|have&3S] [] [det:art|a] [adj|little] [adv|more] [n|wine] [inf|to] [n|wipe cm|cm] [n|doo] [n|doo] [n|doo] [n|doo] [n|doo] [n|doo .],,,,,,,,,,MotherofLily_Lily020909_4
5,Mother,Lily020909,hm: hm: !,Lily,13.798,15.781,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|hm] [co|hm !],,,,,,,,,,MotherofLily_Lily020909_5
6,Mother,Lily020909,what an aromatic kitchen we have .,Lily,15.781,20.108,[],[1|0|INCROOT] [2|4|DET] [3|4|MOD] [4|1|OBJ] [5|6|SUBJ] [6|4|CMOD 7|1|PUNCT],[pro:int|what] [det:art|a] [adj|aromatic] [n|kitchen] [pro:sub|we] [v|have .],,,,,,,,,,MotherofLily_Lily020909_6
7,Mother,Lily020909,"ooh , are you getting your feet all wet ?",Lily,20.108,28.471,[],[1|0|ROOT 2|1|LP] [3|1|COMP] [4|3|OBJ] [5|4|XJCT] [6|7|MOD] [7|5|OBJ] [8|9|JCT] [9|5|JCT 10|1|PUNCT],[v|ooh cm|cm] [aux|be&PRES] [pro:per|you] [part|get-PRESP] [det:poss|your] [n|foot&PL] [adv|all] [part|wet&PASTP ?],,,,,,,,,,MotherofLily_Lily020909_7
8,Mother,Lily020909,xxx .,Lily,0.0,0.0,[],[],[],,,,,,,,,,MotherofLily_Lily020909_8
9,Lily,Lily020909,is that wine ?,Lily,28.473,30.94,[],[1|0|ROOT] [2|3|DET] [3|1|PRED 4|1|PUNCT],[cop|be&3S] [pro:dem|that] [n|wine ?],,,,,,,,,,LilyofLily_Lily020909_9
10,Mother,Lily020909,yes it is .,Lily,0.0,0.0,[],[1|3|COM] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[co|yes] [pro:per|it] [cop|be&3S .],,,,,,,,,,MotherofLily_Lily020909_10
11,Lily,Lily020909,you have_to clean it up .,Lily,30.943,33.3,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT 6|3|PUNCT],[pro:per|you] [mod:aux|have_to] [v|clean] [pro:per|it] [adv|up .],,,,,,,,,,LilyofLily_Lily020909_11
12,Mother,Lily020909,I know .,Lily,33.3,34.21,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:sub|I] [v|know .],,,,,,,,,,MotherofLily_Lily020909_12
13,Mother,Lily020909,okay .,Lily,34.21,37.643,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,MotherofLily_Lily020909_13
14,Mother,Lily020909,"ready , you wanna read your Dora book ?",Lily,37.643,40.681,[],[1|5|LINK 2|1|LP] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|8|MOD] [7|8|MOD] [8|5|OBJ 9|5|PUNCT],[adj|ready cm|cm] [pro:per|you] [mod:aux|wanna] [v|read&ZERO] [det:poss|your] [n:prop|Dora] [n|book ?],,,,,,,,,,MotherofLily_Lily020909_14
15,Lily,Lily020909,where's Amanda ?,Lily,40.708,43.95,[],[1|2|LINK 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[adv:int|where~cop|be&3S] [n:prop|Amanda ?],,,,,,,,,,LilyofLily_Lily020909_15
16,Mother,Lily020909,"xxx , where did she go ?",Lily,43.95,45.505,laughs,[1|5|COM] [2|5|LINK] [3|5|AUX] [4|5|SUBJ] [5|0|ROOT 6|5|PUNCT],[cm|cm] [adv:int|where] [mod|do&PAST] [pro:sub|she] [v|go ?],,,,,,,,,,MotherofLily_Lily020909_16
17,Lily,Lily020909,I think she's in the green room .,Lily,45.506,48.95,[],[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ 4|2|COMP] [5|4|JCT] [6|8|DET] [7|8|MOD] [8|5|POBJ 9|2|PUNCT],[pro:sub|I] [v|think] [pro:sub|she~cop|be&3S] [prep|in] [det:art|the] [n|green] [n|room .],,,,,,,,,,LilyofLily_Lily020909_17
18,Mother,Lily020909,you think she is ?,Lily,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP 5|2|PUNCT],[pro:per|you] [v|think] [pro:sub|she] [cop|be&3S ?],,,,,,,,,,MotherofLily_Lily020909_18
19,Lily,Lily020909,is she ?,Lily,48.95,49.745,[],[1|0|ROOT] [2|1|PRED 3|1|PUNCT],[cop|be&3S] [pro:sub|she ?],,,,,,,,,,LilyofLily_Lily020909_19
20,Mother,Lily020909,I think she is .,Lily,49.745,51.31,[],[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP 5|2|PUNCT],[pro:sub|I] [v|think] [pro:sub|she] [cop|be&3S .],,,,,,,,,,MotherofLily_Lily020909_20
21,Lily,Lily020909,&aw man .,Lily,51.31,53.583,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n|man .],,,,,,,,,,LilyofLily_Lily020909_21
22,Mother,Lily020909,"xxx , Amand<a> .",Lily,53.581,55.776,laughs,[1|0|INCROOT] [2|1|APP 3|1|PUNCT],[cm|cm] [n:prop|Amanda .],,,,,,,,,,MotherofLily_Lily020909_22
23,Mother,Lily020909,delicious .,Lily,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[adj|delicious .],,,,,,,,,,MotherofLily_Lily020909_23
24,Lily,Lily020909,those are not so old .,Lily,55.776,60.941,[],[1|2|SUBJ] [2|0|ROOT] [3|2|NEG] [4|5|JCT] [5|2|PRED 6|2|PUNCT],[pro:dem|those] [cop|be&PRES] [neg|not] [adv|so] [adj|old .],,,,,,,,,,LilyofLily_Lily020909_24
25,Mother,Lily020909,"no , you can have those , those are new .",Lily,0.0,0.0,[],[1|5|COM 2|1|LP] [3|5|SUBJ] [4|5|AUX] [5|0|ROOT] [6|5|OBJ 7|6|LP] [8|9|SUBJ] [9|5|COMP] [10|9|PRED 11|5|PUNCT],[co|no cm|cm] [pro:per|you] [mod|can] [v|have] [pro:dem|those cm|cm] [pro:dem|those] [cop|be&PRES] [adj|new .],,,,,,,,,,MotherofLily_Lily020909_25
26,Mother,Lily020909,I just put them in a little baggie for you .,Lily,60.941,64.398,[],[1|3|SUBJ] [2|3|JCT] [3|0|ROOT] [4|3|OBJ] [5|3|JCT] [6|8|DET] [7|8|MOD] [8|5|POBJ] [9|3|JCT] [10|9|POBJ 11|3|PUNCT],[pro:sub|I] [adv|just] [v|put&ZERO] [pro:obj|them] [prep|in] [det:art|a] [adj|little] [n|bag-DIM] [prep|for] [pro:per|you .],,,,,,,,,,MotherofLily_Lily020909_26
27,Lily,Lily020909,"read please , Mommy .",Lily,64.398,71.44,[],[1|0|ROOT] [2|1|OBJ 3|2|LP] [4|2|ENUM 5|1|PUNCT],[v|read&ZERO] [co|please cm|cm] [n:prop|Mommy .],,,,,,,,,,LilyofLily_Lily020909_27
28,Mother,Lily020909,"okay , thanks for asking so nicely .",Lily,0.0,0.0,[],[1|0|INCROOT 2|1|LP] [3|1|ENUM] [4|1|CONJ] [5|4|COORD] [6|7|JCT] [7|5|JCT 8|1|PUNCT],[adj|okay cm|cm] [co|thanks] [conj|for] [n:gerund|ask-PRESP] [adv|so] [adv|nice&dadj-LY .],,,,,,,,,,MotherofLily_Lily020909_28
29,Mother,Lily020909,"Dora's Halloween adventure , oo:h .",Lily,71.44,80.575,spooky voice[],[1|6|LINK 2|1|POSS] [3|4|MOD] [4|6|SUBJ 5|4|LP] [6|0|ROOT 7|6|PUNCT],[n:prop|Dora~poss|s] [n:prop|Halloween] [n|adventure cm|cm] [v|ooh .],,,,,,,,,,MotherofLily_Lily020909_29
