Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,ToAdults?,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,S-lifting,GRASP,Morphology,uttid
1,1,Mother,Naima001126,"let's (replacement:replacement:let us) go back here , cranky girl who didn't have a nap .",Naima,0.0,3.301,[],,,,,,,,,,,[1|0|ROOT 2|1|OBJ] [3|1|XCOMP] [4|3|JCT] [5|7|JCT 6|5|LP] [7|8|MOD] [8|3|OBJ] [9|12|LINK] [10|12|AUX 11|10|NEG] [12|8|CMOD] [13|14|DET] [14|12|OBJ 15|1|PUNCT],[v|let&ZERO pro:obj|us] [v|go] [adv|back] [adv|here cm|cm] [adj|crank&dn-Y] [n|girl] [pro:rel|who] [mod|do&PAST~neg|not] [v|have] [det:art|a] [n|nap .],MotherofNaima_Naima001126_1
2,2,Naima,Naima001126,xxx Daddy Daddy .,Naima,3.301,7.341,[],,,,,,,,,,,[] [1|2|SUBJ] [2|0|INCROOT 3|2|PUNCT],[] [n:prop|Daddy] [n:prop|Daddy .],NaimaofNaima_Naima001126_2
3,3,Mother,Naima001126,"yes , that was Daddy on the phone .",Naima,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|LP] [3|4|LINK] [4|1|CJCT] [5|4|PRED] [6|4|JCT] [7|8|DET] [8|6|POBJ 9|1|PUNCT],[co|yes cm|cm] [pro:rel|that] [cop|be&PAST&13S] [n:prop|Daddy] [prep|on] [det:art|the] [n|phone .],MotherofNaima_Naima001126_3
4,4,Mother,Naima001126,Daddy_a Daddy_a .,Naima,7.341,10.68,stress on second syllable in imitation of child speech[],,,,,,,,,,,[1|2|SUBJ] [2|0|INCROOT 3|2|PUNCT],[n:prop|Daddy_a] [n:prop|Daddy_a .],MotherofNaima_Naima001126_4
5,5,Mother,Naima001126,let's (replacement:replacement:let us) play with something you really like .,Naima,10.68,14.465,[],,,,,,,,,,,[1|0|ROOT 2|1|OBJ] [3|1|XCOMP] [4|3|JCT] [5|4|POBJ] [6|5|OBJ] [7|6|JCT] [8|7|COM 9|1|PUNCT],[v|let&ZERO pro:obj|us] [n|play] [prep|with] [pro:indef|something] [pro:per|you] [adv|real&dadj-LY] [co|like .],MotherofNaima_Naima001126_5
6,6,Mother,Naima001126,okay ?,Naima,14.465,16.288,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|okay ?],MotherofNaima_Naima001126_6
7,7,Mother,Naima001126,here we go .,Naima,16.288,20.328,[],,,,,,,,,,,[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[adv|here] [pro:sub|we] [v|go .],MotherofNaima_Naima001126_7
8,8,Mother,Naima001126,hey: !,Naima,0.0,0.0,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|hey !],MotherofNaima_Naima001126_8
9,9,Naima,Naima001126,yyy .,Naima,20.328,23.791,[],,,,,,,,,,,[],[],NaimaofNaima_Naima001126_9
10,10,Mother,Naima001126,ywanna (replacement:replacement:you want to) make some music ?,Naima,23.791,28.01,"toy sounds notes , CHI wails",,,,,,,,,,,[1|2|SUBJ 2|0|ROOT 3|4|INF] [4|2|XCOMP] [5|6|QUANT] [6|4|OBJ 7|2|PUNCT],[pro:per|you v|want inf|to] [v|make] [qn|some] [n|music ?],MotherofNaima_Naima001126_10
11,11,Mother,Naima001126,oh .,Naima,28.01,30.94,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|oh .],MotherofNaima_Naima001126_11
12,12,Naima,Naima001126,Daddy yyy .,Naima,30.94,34.873,[],,,,,,,,,,,[1|0|INCROOT] [2|1|PUNCT],[n:prop|Daddy] [.],NaimaofNaima_Naima001126_12
13,13,Mother,Naima001126,oh sweetie+pie .,Naima,34.873,36.94,[],,,,,,,,,,,[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|oh] [n|+adj|sweetie+n|pie .],MotherofNaima_Naima001126_13
14,14,Mother,Naima001126,oh miserable baby .,Naima,36.94,39.753,[],,,,,,,,,,,[1|3|COM] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[co|oh] [adj|miserable] [n|baby .],MotherofNaima_Naima001126_14
15,15,Mother,Naima001126,let's (replacement:replacement:let us) play music .,Naima,39.753,42.586,[],,,,,,,,,,,[1|0|ROOT 2|1|OBJ] [3|4|MOD] [4|1|OBJ 5|1|PUNCT],[v|let&ZERO pro:obj|us] [n|play] [n|music .],MotherofNaima_Naima001126_15
16,16,Mother,Naima001126,yea:h .,Naima,42.586,44.05,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|yeah .],MotherofNaima_Naima001126_16
17,17,Mother,Naima001126,yea:h .,Naima,44.05,47.05,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[co|yeah .],MotherofNaima_Naima001126_17
18,18,Mother,Naima001126,Naima .,Naima,47.05,49.458,[],,,,,,,,,,,[1|0|INCROOT 2|1|PUNCT],[n:prop|Naima .],MotherofNaima_Naima001126_18
19,19,Mother,Naima001126,welcome welcome everyone .,Naima,49.458,53.921,[],,,,,,,,,,,[1|2|MOD] [2|0|INCROOT] [3|2|OBJ 4|2|PUNCT],[adj|welcome] [n|welcome] [pro:indef|everyone .],MotherofNaima_Naima001126_19
20,20,Mother,Naima001126,now you're here we'll have some fun .,Naima,53.921,58.825,[],,,,,,,,,,,[1|7|JCT] [2|7|SUBJ 3|7|AUX] [4|7|JCT] [5|7|SUBJ 6|7|AUX] [7|0|ROOT] [8|9|QUANT] [9|7|OBJ 10|7|PUNCT],[adv|now] [pro:per|you~aux|be&PRES] [adv|here] [pro:sub|we~mod|will] [v|have] [qn|some] [n|fun .],MotherofNaima_Naima001126_20
21,21,Mother,Naima001126,you're gonna bring me the telephone ?,Naima,58.825,61.393,[],,,,,,,,,,,[1|4|SUBJ 2|4|AUX] [3|4|AUX] [4|0|ROOT] [5|4|OBJ] [6|7|DET] [7|4|OBJ 8|4|PUNCT],[pro:per|you~aux|be&PRES] [mod:aux|gonna] [v|bring] [pro:obj|me] [det:art|the] [n|telephone ?],MotherofNaima_Naima001126_21
22,22,Mother,Naima001126,who's on the telephone ?,Naima,61.393,63.561,[],,,,,,,,,,,[1|2|LINK 2|0|ROOT] [3|5|JCT] [4|5|DET] [5|2|PRED 6|2|PUNCT],[pro:rel|who~aux|be&3S] [adv|on] [det:art|the] [n|telephone ?],MotherofNaima_Naima001126_22
