Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Naima,Naima021008a,"do (replacement:replacement:the) , the , the cat .",Naima,0.0,5.98,[],[1|6|DET 2|1|LP] [3|6|DET 4|3|LP] [5|6|DET] [6|0|INCROOT 7|6|PUNCT],[det:art|the cm|cm] [det:art|the cm|cm] [det:art|the] [n|cat .],,,,,,,,,,NaimaofNaima_Naima021008a_1
2,Naima,Naima021008a,"xxx , put yyy the yyy , no no that , &-uh { her (?) } cat , no no , that's her cat .",Naima,5.98,11.755,[],[1|2|SUBJ] [2|0|ROOT] [] [3|4|DET] [4|2|LP] [5|6|QUANT] [6|7|QUANT] [7|10|DET 8|7|LP] [] [9|10|MOD] [10|2|OBJ 11|10|LP] [12|13|QUANT] [13|15|QUANT 14|13|LP] [15|18|LINK 16|18|AUX] [17|18|MOD] [18|10|CJCT 19|2|PUNCT],[cm|cm] [v|put&ZERO] [] [det:art|the] [cm|cm] [qn|no] [qn|no] [pro:dem|that cm|cm] [] [pro:obj|her] [n|cat cm|cm] [qn|no] [qn|no cm|cm] [pro:rel|that~aux|be&3S] [det:poss|her] [n|cat .],,,,,,,,,,NaimaofNaima_Naima021008a_2
3,Naima,Naima021008a,"that's her cat , okay ?",Naima,11.756,16.531,[],[1|2|SUBJ 2|0|ROOT] [3|4|MOD] [4|2|PRED 5|4|LP] [6|4|ENUM 7|2|PUNCT],[pro:dem|that~cop|be&3S] [det:poss|her] [n|cat cm|cm] [adj|okay ?],,,,,,,,,,NaimaofNaima_Naima021008a_3
4,Mother,Naima021008a,oh you think the fox might eat the cat ?,Naima,0.0,0.0,[],[1|3|COM] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|7|SUBJ] [6|7|AUX] [7|3|COMP] [8|9|DET] [9|7|OBJ 10|3|PUNCT],[co|oh] [pro:per|you] [v|think] [det:art|the] [n|fox] [mod|might] [v|eat] [det:art|the] [n|cat ?],,,,,,,,,,MotherofNaima_Naima021008a_4
5,Naima,Naima021008a,"yeah , because the , the cat's (replacement:replacement:cat is) smart , smart smart smart smart smart .",Naima,16.533,22.646,could be small instead of smart[],[1|0|INCROOT 2|1|LP] [3|8|LINK] [4|7|DET 5|4|LP] [6|7|DET] [7|8|SUBJ 8|1|CJCT] [9|8|PRED 10|8|LP] [11|15|MOD] [12|15|MOD] [13|15|MOD] [14|15|MOD] [15|8|PRED 16|1|PUNCT],[co|yeah cm|cm] [conj|because] [det:art|the cm|cm] [det:art|the] [n|cat cop|be&3S] [adj|smart cm|cm] [adj|smart] [adj|smart] [adj|smart] [adj|smart] [adj|smart .],,,,,,,,,,NaimaofNaima_Naima021008a_5
6,Naima,Naima021008a,"xxx you fixed this , this door .",Naima,22.646,27.19,[],[] [1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|3|LP] [5|6|DET] [6|2|OBJ 7|2|PUNCT],[] [pro:per|you] [v|fix-PAST] [pro:dem|this cm|cm] [pro:dem|this] [n|door .],,,,,,,,,,NaimaofNaima_Naima021008a_6
7,Naima,Naima021008a,{ what'd (replacement:replacement:what did) (?) } you fix this door ?,Naima,27.19,29.556,[],[1|4|LINK 2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|6|DET] [6|4|OBJ 7|4|PUNCT],[pro:int|what mod|do&PAST] [pro:per|you] [v|fix] [pro:dem|this] [n|door ?],,,,,,,,,,NaimaofNaima_Naima021008a_7
8,Mother,Naima021008a,"well , I fixed it but it broke again .",Naima,29.556,31.558,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT] [5|4|OBJ] [6|8|LINK] [7|8|SUBJ] [8|4|CJCT] [9|8|JCT 10|4|PUNCT],[co|well cm|cm] [pro:sub|I] [v|fix-PAST] [pro:per|it] [conj|but] [pro:per|it] [v|break&PAST] [adv|again .],,,,,,,,,,MotherofNaima_Naima021008a_8
9,Naima,Naima021008a,well { I (?) } fixed it but it broke again (t:t:interruption),Naima,31.558,36.031,original orthography: agai < n >[],[1|3|COM] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|7|LINK] [6|7|SUBJ] [7|3|CJCT] [8|7|JCT 9|3|PUNCT],[co|well] [pro:sub|I] [v|fix-PAST] [pro:per|it] [conj|but] [pro:per|it] [v|break&PAST] [adv|again (mt:interruption)],,,,,,,,,,NaimaofNaima_Naima021008a_9
10,Mother,Naima021008a,I used some string to tie it with .,Naima,36.031,38.453,[],[1|2|SUBJ] [2|0|ROOT] [3|4|QUANT] [4|2|OBJ] [5|6|INF] [6|4|XCOMP] [7|6|OBJ] [8|6|JCT 9|2|PUNCT],[pro:sub|I] [v|use-PAST] [qn|some] [n|string] [inf|to] [v|tie] [pro:per|it] [prep|with .],,,,,,,,,,MotherofNaima_Naima021008a_10
