Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,1,Father,Violet010200,testing one two three testing .,Violet,8.088,10.93,[],[1|5|LINK] [2|4|QUANT] [3|4|QUANT] [4|5|QUANT] [5|0|ROOT 6|5|PUNCT],[part|test-PRESP] [det:num|one] [det:num|two] [det:num|three] [part|test-PRESP .],,,,,,,,,,FatherofViolet_Violet010200_1
,2,Mother,Violet010200,Violet .,Violet,10.93,11.985,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet010200_2
,3,Mother,Violet010200,how do you know if my sounds gonna be working ?,Violet,11.985,16.246,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|10|LINK] [6|7|MOD] [7|10|SUBJ] [8|10|AUX] [9|10|AUX] [10|4|CJCT 11|4|PUNCT],[adv:int|how] [mod|do] [pro:per|you] [v|know] [conj|if] [det:poss|my] [n|sound-PL] [mod:aux|gonna] [aux|be] [part|work-PRESP ?],,,,,,,,,,MotherofViolet_Violet010200_3
,4,Father,Violet010200,we're going to listen to the tape in a second .,Violet,16.246,18.993,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|JCT] [7|8|DET] [8|6|POBJ] [9|5|JCT] [10|11|DET] [11|9|POBJ 12|3|PUNCT],[pro:sub|we~aux|be&PRES] [part|go-PRESP] [inf|to] [v|listen] [prep|to] [det:art|the] [n|tape] [prep|in] [det:art|a] [n|second .],,,,,,,,,,FatherofViolet_Violet010200_4
,5,Mother,Violet010200,oh okay .,Violet,0.0,0.0,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|oh] [co|okay .],,,,,,,,,,MotherofViolet_Violet010200_5
,6,Father,Violet010200,"we'll make sure , testing for audio quality .",Violet,18.993,21.911,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT 5|3|LP] [6|3|XJCT] [7|6|JCT] [8|9|MOD] [9|7|POBJ 10|3|PUNCT],[pro:sub|we~mod|will] [v|make] [adv|sure cm|cm] [part|test-PRESP] [prep|for] [adj|audio] [n|quality .],,,,,,,,,,FatherofViolet_Violet010200_6
,7,Father,Violet010200,testing for audio quality .,Violet,21.911,25.04,[],[1|0|INCROOT] [2|1|JCT] [3|4|MOD] [4|2|POBJ 5|1|PUNCT],[part|test-PRESP] [prep|for] [adj|audio] [n|quality .],,,,,,,,,,FatherofViolet_Violet010200_7
,8,Father,Violet010200,Violet .,Violet,25.04,27.718,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Violet .],,,,,,,,,,FatherofViolet_Violet010200_8
,9,Father,Violet010200,Violet .,Violet,27.718,32.476,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Violet .],,,,,,,,,,FatherofViolet_Violet010200_9
,10,Mother,Violet010200,Violet say uhoh .,Violet,32.476,35.435,[],[1|2|SUBJ] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[n:prop|Violet] [v|say] [co|uhoh .],,,,,,,,,,MotherofViolet_Violet010200_10
,11,Mother,Violet010200,"hey , hey .",Violet,35.435,37.92,[],[1|0|INCROOT 2|1|LP] [3|1|ENUM 4|1|PUNCT],[co|hey cm|cm] [co|hey .],,,,,,,,,,MotherofViolet_Violet010200_11
,12,Mother,Violet010200,say uhoh .,Violet,38.188,55.785,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|say] [co|uhoh .],,,,,,,,,,MotherofViolet_Violet010200_12
,13,Violet,Violet010200,xxx .,Violet,55.786,57.963,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_13
,14,Mother,Violet010200,"okay , now just shut it off .",Violet,58.253,72.661,[],[1|5|COM 2|1|LP] [3|5|JCT] [4|5|JCT] [5|0|ROOT] [6|5|OBJ] [7|5|JCT 8|5|PUNCT],[co|okay cm|cm] [adv|now] [adv|just] [v|shut&ZERO] [pro:per|it] [adv|off .],,,,,,,,,,MotherofViolet_Violet010200_14
,15,Mother,Violet010200,"hey , hey Violet .",Violet,72.663,75.895,[],[1|4|COM 2|1|LP] [3|4|COM] [4|0|ROOT 5|4|PUNCT],[co|hey cm|cm] [co|hey] [n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet010200_15
,16,Mother,Violet010200,wanna read a book ?,Violet,75.895,77.395,[],[1|2|AUX] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT],[mod:aux|wanna] [v|read&ZERO] [det:art|a] [n|book ?],,,,,,,,,,MotherofViolet_Violet010200_16
,17,Mother,Violet010200,Violet .,Violet,77.395,79.56,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet010200_17
,18,Mother,Violet010200,Violet .,Violet,79.56,83.1,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Violet .],,,,,,,,,,MotherofViolet_Violet010200_18
,19,Mother,Violet010200,Violet come here,Violet,83.1,88.025,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT 4|2|LP],[n:prop|Violet] [v|come] [adv|here cm|cm],,,,,,,,,,MotherofViolet_Violet010200_19
,19,Mother,Violet010200,wanna read a book ?,Violet,0.0,0.0,[],[5|6|AUX] [6|2|CJCT] [7|8|DET] [8|6|OBJ 9|2|PUNCT],[mod:aux|wanna] [v|read&ZERO] [det:art|a] [n|book ?],,,,,,,,,,MotherofViolet_Violet010200_19
,20,Mother,Violet010200,do you wanna read a book ?,Violet,88.025,90.641,[],[1|4|AUX] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ 7|4|PUNCT],[mod|do] [pro:per|you] [mod:aux|wanna] [v|read&ZERO] [det:art|a] [n|book ?],,,,,,,,,,MotherofViolet_Violet010200_20
,21,Mother,Violet010200,wanna read this book ?,Violet,90.641,99.565,[],[1|2|AUX] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT],[mod:aux|wanna] [v|read&ZERO] [pro:dem|this] [n|book ?],,,,,,,,,,MotherofViolet_Violet010200_21
,22,Violet,Violet010200,xxx .,Violet,99.565,102.181,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_22
,23,Mother,Violet010200,"or this one , this is a good one .",Violet,102.181,108.161,[],[1|3|LINK] [2|3|DET] [3|6|LINK 4|3|LP] [5|6|SUBJ] [6|0|ROOT] [7|9|DET] [8|9|MOD] [9|6|PRED 10|6|PUNCT],[coord|or] [pro:dem|this] [pro:indef|one cm|cm] [pro:dem|this] [cop|be&3S] [det:art|a] [adj|good] [pro:indef|one .],,,,,,,,,,MotherofViolet_Violet010200_23
,24,Mother,Violet010200,about hats .,Violet,108.161,116.35,MOT reads a book to CHI,[1|0|INCROOT] [2|1|POBJ 3|1|PUNCT],[prep|about] [n|hat-PL .],,,,,,,,,,MotherofViolet_Violet010200_24
