Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Violet,Violet030600,xxx .,Violet,0.0,4.175,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_1
2,Mother,Violet030600,but I don't know how long it's gonna record for .,Violet,4.175,17.83,[],[1|5|LINK] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|11|SUBJ] [6|9|LINK] [7|8|JCT] [8|9|SUBJ 9|11|AUX] [10|11|AUX] [11|0|ROOT] [12|11|JCT 13|11|PUNCT],[conj|but] [pro:sub|I] [mod|do~neg|not] [v|know] [adv:int|how] [adv|long] [pro:per|it~cop|be&3S] [mod:aux|gonna] [v|record] [prep|for .],,,,,,,,,,MotherofViolet_Violet030600_2
3,Mother,Violet030600,oh it's working .,Violet,17.831,20.0,[],[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|3|PRED 5|3|PUNCT],[co|oh] [pro:per|it~cop|be&3S] [part|work-PRESP .],,,,,,,,,,MotherofViolet_Violet030600_3
4,Mother,Violet030600,it's working !,Violet,20.0,24.053,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT 4|3|PUNCT],[pro:per|it~aux|be&3S] [part|work-PRESP !],,,,,,,,,,MotherofViolet_Violet030600_4
5,Violet,Violet030600,yyy yyy .,Violet,24.053,33.246,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_5
6,Brother,Violet030600,now could you just fix my xxx ?,Violet,0.0,0.0,[],[1|5|JCT] [2|3|AUX] [3|5|SUBJ] [4|5|JCT] [5|0|ROOT] [6|5|OBJ] [7|5|PUNCT],[adv|now] [mod|could] [pro:per|you] [adv|just] [v|fix] [det:poss|my] [?],,,,,,,,,,BrotherofViolet_Violet030600_6
7,Violet,Violet030600,yyy yyy .,Violet,0.0,0.0,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_7
8,Mother,Violet030600,after school honey .,Violet,0.0,0.0,[],[1|0|INCROOT] [2|3|MOD] [3|1|POBJ 4|1|PUNCT],[prep|after] [n|school] [n|honey .],,,,,,,,,,MotherofViolet_Violet030600_8
9,Violet,Violet030600,yyy .,Violet,33.248,34.908,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_9
10,Mother,Violet030600,but why is now that one ?,Violet,34.908,36.218,[],[1|6|LINK] [2|6|LINK] [3|6|AUX] [4|6|JCT] [5|6|LINK] [6|0|ROOT 7|6|PUNCT],[conj|but] [adv:int|why] [aux|be&3S] [adv|now] [pro:rel|that] [pro:indef|one ?],,,,,,,,,,MotherofViolet_Violet030600_10
11,Violet,Violet030600,yyy .,Violet,36.218,38.048,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_11
12,Mother,Violet030600,xxx .,Violet,0.0,0.0,[],[],[],,,,,,,,,,MotherofViolet_Violet030600_12
13,Violet,Violet030600,yyy .,Violet,38.048,42.741,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_13
14,Brother,Violet030600,"yesterday you said you'd do it xxx when we get home , and now your saying (t:t:trail off)",Violet,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ 5|6|AUX] [6|3|COMP] [7|6|OBJ] [] [8|10|LINK] [9|10|SUBJ] [10|6|CJCT] [11|10|JCT 12|6|LP] [13|6|CONJ] [14|16|JCT] [15|16|MOD] [16|13|COORD 17|3|PUNCT],[adv:tem|yesterday] [pro:per|you] [v|say&PAST] [pro:per|you~mod|genmod] [v|do] [pro:per|it] [] [conj|when] [pro:sub|we] [v|get] [n|home cm|cm] [coord|and] [adv|now] [det:poss|your] [part|say-PRESP (mt:trail off)],,,,,,,,,,BrotherofViolet_Violet030600_14
15,Mother,Violet030600,"what d<o> you want me to do , tie the string ?",Violet,0.0,0.0,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|4|OBJ] [6|7|INF] [7|4|XCOMP 8|7|LP] [9|7|OBJ] [10|11|DET] [11|9|OBJ 12|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|want] [pro:obj|me] [inf|to] [v|do cm|cm] [n|tie] [det:art|the] [n|string ?],,,,,,,,,,MotherofViolet_Violet030600_15
16,Violet,Violet030600,xxx .,Violet,42.741,46.08,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_16
17,Brother,Violet030600,yeah .,Violet,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,BrotherofViolet_Violet030600_17
18,Father,Violet030600,xxx grab your lunch let's go .,Violet,46.081,49.418,[],[] [1|4|LINK] [2|3|MOD] [3|4|SUBJ] [4|0|ROOT 5|4|OBJ] [6|4|XCOMP 7|4|PUNCT],[] [v|grab] [det:poss|your] [n|lunch] [v|let~pro:obj|us] [v|go .],,,,,,,,,,FatherofViolet_Violet030600_18
19,Violet,Violet030600,xxx .,Violet,49.418,51.978,[],[],[],,,,,,,,,,VioletofViolet_Violet030600_19
20,Mother,Violet030600,it's working so (t:t:trail off),Violet,0.0,0.0,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|3|JCT 5|3|PUNCT],[pro:per|it~aux|be&3S] [part|work-PRESP] [adv|so (mt:trail off)],,,,,,,,,,MotherofViolet_Violet030600_20
21,Father,Violet030600,okay .,Violet,51.98,52.578,[],[1|0|INCROOT 2|1|PUNCT],[co|okay .],,,,,,,,,,FatherofViolet_Violet030600_21
22,Mother,Violet030600,I don't know .,Violet,52.578,53.86,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT 5|4|PUNCT],[pro:sub|I] [mod|do~neg|not] [v|know .],,,,,,,,,,MotherofViolet_Violet030600_22
23,Father,Violet030600,see how long it goes .,Violet,0.0,0.0,[],[1|0|ROOT] [2|5|LINK] [3|5|JCT] [4|5|SUBJ] [5|1|COMP 6|1|PUNCT],[v|see] [adv:int|how] [adj|long] [pro:per|it] [v|go-3S .],,,,,,,,,,FatherofViolet_Violet030600_23
24,Violet,Violet030600,Mom are you making a new string ?,Violet,53.86,57.0,[],[1|4|SUBJ] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT] [5|7|DET] [6|7|MOD] [7|4|OBJ 8|4|PUNCT],[n:prop|Mom] [aux|be&PRES] [pro:per|you] [part|make-PRESP] [det:art|a] [adj|new] [n|string ?],,,,,,,,,,VioletofViolet_Violet030600_24
25,Mother,Violet030600,I'm tying this string .,Violet,57.0,58.335,[],[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|DET] [5|3|OBJ 6|3|PUNCT],[pro:sub|I~aux|be&1S] [part|tie-PRESP] [pro:dem|this] [n|string .],,,,,,,,,,MotherofViolet_Violet030600_25
26,Mother,Violet030600,for your brother .,Violet,58.335,64.218,[],[1|0|INCROOT] [2|3|MOD] [3|1|POBJ 4|1|PUNCT],[prep|for] [det:poss|your] [n|brother .],,,,,,,,,,MotherofViolet_Violet030600_26
27,Violet,Violet030600,xxx kite ?,Violet,64.218,69.773,[],[] [1|0|INCROOT 2|1|PUNCT],[] [n|kite ?],,,,,,,,,,VioletofViolet_Violet030600_27
28,Father,Violet030600,xxx .,Violet,0.0,0.0,[],[],[],,,,,,,,,,FatherofViolet_Violet030600_28
29,Violet,Violet030600,what is this ?,Violet,69.773,71.175,[],[1|2|SUBJ] [2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what] [cop|be&3S] [pro:dem|this ?],,,,,,,,,,VioletofViolet_Violet030600_29
