Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,William020209,do you need (t:t:self interruption),William,0.0,0.0,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT],[mod|do] [pro:per|you] [v|need (mt:self interruption)],,,,,,,,,,MotherofWilliam_William020209_1
2,Mother,William020209,should I give you some (.) Benadryl ?,William,0.0,3.073,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|6|QUANT] [6|3|JCT 7|3|PUNCT],[mod|should] [pro:sub|I] [v|give] [pro:per|you] [qn|some] [n:prop|Benadryl ?],,,,,,,,,,MotherofWilliam_William020209_2
3,Mother,William020209,"yeah , I guess I should , huh ?",William,3.073,6.311,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT] [5|8|SUBJ] [6|8|AUX 7|6|LP] [8|4|COMP 9|4|PUNCT],[co|yeah cm|cm] [pro:sub|I] [v|guess] [pro:sub|I] [mod|should cm|cm] [co|huh ?],,,,,,,,,,MotherofWilliam_William020209_3
4,Mother,William020209,"well , I guess you can't have that kind of a bagel .",William,6.311,9.958,[],[1|4|COM 2|1|LP] [3|4|SUBJ] [4|0|ROOT] [5|8|SUBJ] [6|8|AUX 7|6|NEG] [8|4|COMP] [9|8|OBJ] [10|9|POSTMOD] [11|10|JCT] [12|13|DET] [13|11|POBJ 14|4|PUNCT],[co|well cm|cm] [pro:sub|I] [v|guess] [pro:per|you] [mod|can~neg|not] [v|have] [det:dem|that] [adj|kind] [prep|of] [det:art|a] [n|bagel .],,,,,,,,,,MotherofWilliam_William020209_4
5,William,William020209,hi !,William,9.958,12.675,[],[1|0|INCROOT 2|1|PUNCT],[co|hi !],,,,,,,,,,WilliamofWilliam_William020209_5
6,CameraOperator,William020209,hi !,William,12.675,13.451,[],[1|0|INCROOT 2|1|PUNCT],[co|hi !],,,,,,,,,,CameraOperatorofWilliam_William020209_6
7,Mother,William020209,William is just having too much medicine (.) these days .,William,13.451,20.593,[],[1|4|SUBJ] [2|4|AUX] [3|4|JCT] [4|0|ROOT] [5|4|JCT] [6|7|QUANT] [7|4|JCT] [8|9|DET] [9|7|OBJ 10|4|PUNCT],[n:prop|William] [aux|be&3S] [adj|just] [n:gerund|have-PRESP] [adv|too] [qn|much] [n|medicine] [pro:dem|these] [n|day-PL .],,,,,,,,,,MotherofWilliam_William020209_7
8,Mother,William020209,lemme (replacement:replacement:let me) just make sure (t:t:trail off),William,20.593,23.753,[],[1|0|ROOT 2|1|OBJ] [3|4|JCT] [4|1|XCOMP] [5|4|JCT 6|1|PUNCT],[v|let&ZERO pro:obj|me] [adv|just] [v|make] [adj|sure (mt:trail off)],,,,,,,,,,MotherofWilliam_William020209_8
9,CameraOperator,William020209,good job !,William,23.753,25.96,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[adj|good] [n|job !],,,,,,,,,,CameraOperatorofWilliam_William020209_9
10,William,William020209,almost !,William,25.96,30.92,[],[1|0|INCROOT 2|1|PUNCT],[adv|almost !],,,,,,,,,,WilliamofWilliam_William020209_10
11,William,William020209,almost !,William,30.7,31.728,[],[1|0|INCROOT 2|1|PUNCT],[adv|almost !],,,,,,,,,,WilliamofWilliam_William020209_11
12,William,William020209,yyy !,William,31.728,32.77,[],[],[],,,,,,,,,,WilliamofWilliam_William020209_12
13,William,William020209,xxx .,William,32.77,34.51,[],[],[],,,,,,,,,,WilliamofWilliam_William020209_13
14,William,William020209,almost .,William,34.51,36.11,[],[1|0|INCROOT 2|1|PUNCT],[adv|almost .],,,,,,,,,,WilliamofWilliam_William020209_14
15,William,William020209,xxx .,William,36.11,42.988,[],[],[],,,,,,,,,,WilliamofWilliam_William020209_15
16,William,William020209,xxx .,William,42.988,51.345,[],[],[],,,,,,,,,,WilliamofWilliam_William020209_16
17,CameraOperator,William020209,good job !,William,51.345,55.125,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[adj|good] [n|job !],,,,,,,,,,CameraOperatorofWilliam_William020209_17
18,Mother,William020209,I'm just gonna call a doctor .,William,55.125,58.186,[],[1|5|SUBJ 2|5|AUX] [3|5|JCT] [4|5|AUX] [5|0|ROOT] [6|7|DET] [7|5|OBJ 8|5|PUNCT],[pro:sub|I~aux|be&1S] [adv|just] [mod:aux|gonna] [v|call] [det:art|a] [n|doctor .],,,,,,,,,,MotherofWilliam_William020209_18
19,Mother,William020209,just <be>cause he's (t:t:self interruption),William,0.0,0.0,[],[1|2|JCT] [2|4|LINK] [3|4|SUBJ 4|0|ROOT 5|4|PUNCT],[adv|just] [conj|because] [pro:sub|he~cop|be&3S (mt:self interruption)],,,,,,,,,,MotherofWilliam_William020209_19
